UTC,UTC-00,-0
America/New_York,UTC-05,-5
America/Chicago,UTC-06,-6
America/Denver,UTC-07,-7
America/Phoenix,UTC-07,-7
America/Los Angeles,UTC-08,-8
America/Anchorage,UTC-09,-9
Pacific/Honolulu,UTC-10,-10
Africa/Johannesburg,UTC+02,+2
America/Mexico City,UTC-06,-6
Africa/Monrousing,UTC+00,+0
Asia/Tokyo,UTC+09,+9
America/Jamaica,UTC-05,-5
Europe/Rome,UTC+01,+1
Asia/Hong Kong,UTC+08,+8
Pacific/Guam,UTC+10,+10
Europe/Athens,UTC+02,+2
Europe/London,UTC+00,+0
Europe/Paris,UTC+01,+1
Europe/Madrid,UTC+01,+1
Africa/Cairo,UTC+02,+2
Europe/Copenhagen,UTC+01,+1
Europe/Berlin,UTC+01,+1
Europe/Prague,UTC+01,+1
America/Vancouver,UTC-08,-8
America/Edmonton,UTC-07,-7
America/Toronto,UTC-05,-5
America/Montreal,UTC-05,-5
America/Sao Paulo,UTC-03,-3
Europe/Brussels,UTC+01,+1
Australia/Perth,UTC+08,+8
Australia/Sydney,UTC+10,+10
Asia/Seoul,UTC+09,+9
Africa/Lagos,UTC+01,+1
Europe/Warsaw,UTC+01,+1
America/Puerto Rico,UTC-04,-4
Europe/Moscow,UTC+04,+4
Asia/Manila,UTC+08,+8
Atlantic/Reykjavik,UTC+00,+0
Asia/Jerusalem,UTC+02,+2
